LAST SEEN   TYPE      REASON                    OBJECT                                       MESSAGE
21m         Normal    SuccessfulCreate          replicaset/blackbox-exporter-56f8658cc9      Created pod: blackbox-exporter-56f8658cc9-2xvk9
21m         Normal    Scheduled                 pod/blackbox-exporter-56f8658cc9-2xvk9       Successfully assigned otel-lab/blackbox-exporter-56f8658cc9-2xvk9 to kube-w2
21m         Normal    ScalingReplicaSet         deployment/blackbox-exporter                 Scaled up replica set blackbox-exporter-56f8658cc9 from 0 to 1
21m         Normal    Pulled                    pod/grafana-6dd59489c8-7dzgk                 Container image "grafana/grafana:11.1.0" already present on machine and can be accessed by the pod
21m         Normal    Scheduled                 pod/prometheus-579b9cb5cf-77s9w              Successfully assigned otel-lab/prometheus-579b9cb5cf-77s9w to kube-cp
21m         Normal    Created                   pod/blackbox-exporter-56f8658cc9-2xvk9       Container created
21m         Normal    Pulled                    pod/blackbox-exporter-56f8658cc9-2xvk9       Successfully pulled image "192.168.0.20:30500/blackbox-exporter:v0.25.0" in 484ms (484ms including waiting). Image size: 12004758 bytes.
21m         Normal    Scheduled                 pod/grafana-6dd59489c8-7dzgk                 Successfully assigned otel-lab/grafana-6dd59489c8-7dzgk to kube-cp
21m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled up replica set prometheus-579b9cb5cf from 0 to 1
21m         Normal    Created                   pod/grafana-6dd59489c8-7dzgk                 Container created
21m         Normal    Started                   pod/blackbox-exporter-56f8658cc9-2xvk9       Container started
21m         Normal    Pulled                    pod/prometheus-579b9cb5cf-77s9w              Container image "prom/prometheus:v2.52.0" already present on machine and can be accessed by the pod
21m         Normal    SuccessfulCreate          replicaset/grafana-6dd59489c8                Created pod: grafana-6dd59489c8-7dzgk
21m         Normal    Created                   pod/prometheus-579b9cb5cf-77s9w              Container created
21m         Normal    Started                   pod/prometheus-579b9cb5cf-77s9w              Container started
21m         Normal    SuccessfulCreate          replicaset/prometheus-579b9cb5cf             Created pod: prometheus-579b9cb5cf-77s9w
21m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled up replica set grafana-6dd59489c8 from 0 to 1
21m         Normal    Pulling                   pod/blackbox-exporter-56f8658cc9-2xvk9       Pulling image "192.168.0.20:30500/blackbox-exporter:v0.25.0"
21m         Normal    Started                   pod/grafana-6dd59489c8-7dzgk                 Container started
21m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled down replica set prometheus-7d9d799c5d from 1 to 0
21m         Normal    SuccessfulDelete          replicaset/prometheus-7d9d799c5d             Deleted pod: prometheus-7d9d799c5d-rd7jr
21m         Normal    Killing                   pod/prometheus-7d9d799c5d-rd7jr              Stopping container prometheus
21m         Normal    Killing                   pod/grafana-7dfdc4cff-7g2mh                  Stopping container grafana
21m         Normal    SuccessfulDelete          replicaset/grafana-7dfdc4cff                 Deleted pod: grafana-7dfdc4cff-7g2mh
21m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled down replica set grafana-7dfdc4cff from 1 to 0
19m         Normal    SuccessfulCreate          replicaset/prometheus-656f759db4             Created pod: prometheus-656f759db4-4g2rw
19m         Normal    ScalingReplicaSet         deployment/prometheus                        Scaled up replica set prometheus-656f759db4 from 0 to 1
19m         Normal    Scheduled                 pod/grafana-f87d67947-9dfhp                  Successfully assigned otel-lab/grafana-f87d67947-9dfhp to kube-cp
19m         Normal    SuccessfulCreate          replicaset/grafana-f87d67947                 Created pod: grafana-f87d67947-9dfhp
19m         Normal    Scheduled                 pod/prometheus-656f759db4-4g2rw              Successfully assigned otel-lab/prometheus-656f759db4-4g2rw to kube-w1
19m         Normal    ScalingReplicaSet         deployment/grafana                           Scaled up replica set grafana-f87d67947 from 0 to 1
19m         Normal    SuccessfulDelete          replicaset/prometheus-579b9cb5cf             Deleted pod: prometheus-579b9cb5cf-77s9w
